iter	Passed	Remaining
0	164	164777
1	168	84188
2	172	57300
3	176	43958
4	180	35914
5	183	30443
6	186	26414
7	188	23395
8	190	20984
9	192	19045
10	194	17448
11	195	16098
12	196	14955
13	198	13974
14	199	13121
15	201	12372
16	203	11763
17	205	11199
18	206	10667
19	207	10173
20	208	9726
21	209	9319
22	210	8952
23	211	8614
24	212	8302
25	213	8013
26	215	7749
27	216	7502
28	217	7274
29	218	7060
30	219	6857
31	220	6667
32	221	6488
33	222	6320
34	223	6163
35	224	6015
36	225	5872
37	226	5739
38	228	5620
39	229	5500
40	230	5389
41	231	5283
42	232	5185
43	234	5084
44	235	4987
45	236	4894
46	237	4805
47	238	4720
48	238	4638
49	240	4560
50	241	4488
51	242	4416
52	243	4347
53	244	4279
54	245	4214
55	246	4152
56	247	4092
57	248	4034
58	249	3978
59	250	3924
60	251	3870
61	252	3819
62	253	3769
63	254	3725
64	255	3679
65	256	3634
66	257	3590
67	258	3541
68	259	3499
69	260	3459
70	261	3420
71	262	3382
72	263	3345
73	264	3311
74	265	3276
75	266	3242
76	268	3217
77	269	3187
78	270	3155
79	271	3124
80	272	3093
81	273	3064
82	274	3035
83	275	3007
84	276	2976
85	277	2950
86	278	2921
87	279	2897
88	280	2872
89	281	2850
90	283	2828
91	284	2804
92	285	2781
93	286	2758
94	287	2736
95	288	2714
96	289	2692
97	290	2671
98	291	2650
99	292	2631
100	293	2611
101	293	2587
102	294	2568
103	296	2552
104	297	2534
105	298	2516
106	299	2498
107	300	2480
108	301	2463
109	302	2446
110	303	2429
111	304	2412
112	305	2396
113	306	2380
114	307	2364
115	308	2348
116	309	2332
117	310	2319
118	311	2304
119	312	2289
120	313	2276
121	314	2261
122	314	2244
123	315	2231
124	316	2218
125	318	2206
126	319	2194
127	320	2180
128	321	2169
129	322	2158
130	324	2149
131	325	2140
132	326	2131
133	327	2119
134	328	2107
135	329	2095
136	330	2084
137	331	2071
138	332	2060
139	333	2049
140	334	2038
141	335	2028
142	336	2017
143	337	2008
144	338	1998
145	339	1988
146	340	1978
147	341	1968
148	342	1958
149	343	1949
150	344	1939
151	345	1930
152	347	1921
153	347	1911
154	348	1902
155	350	1893
156	351	1887
157	352	1879
158	353	1870
159	354	1862
160	355	1853
161	356	1845
162	357	1836
163	358	1828
164	359	1820
165	360	1813
166	362	1805
167	363	1797
168	364	1790
169	365	1785
170	366	1778
171	367	1771
172	368	1763
173	369	1755
174	370	1748
175	371	1740
176	372	1733
177	373	1726
178	374	1719
179	375	1712
180	376	1702
181	377	1695
182	378	1690
183	379	1683
184	380	1676
185	381	1670
186	382	1663
187	383	1656
188	384	1650
189	385	1643
190	386	1637
191	387	1631
192	388	1625
193	389	1619
194	390	1612
195	391	1606
196	392	1601
197	393	1595
198	394	1589
199	395	1583
200	396	1577
201	397	1571
202	398	1565
203	399	1559
204	400	1554
205	401	1548
206	402	1542
207	403	1537
208	404	1531
209	405	1525
210	406	1521
211	407	1516
212	408	1511
213	410	1505
214	410	1500
215	412	1495
216	413	1490
217	414	1485
218	415	1480
219	416	1475
220	417	1470
221	418	1465
222	419	1460
223	420	1456
224	421	1451
225	422	1446
226	423	1441
227	424	1436
228	425	1431
229	426	1426
230	427	1421
231	428	1416
232	428	1412
233	429	1407
234	430	1402
235	431	1398
236	432	1393
237	434	1389
238	435	1385
239	436	1380
240	437	1376
241	438	1372
242	439	1368
243	440	1363
244	441	1359
245	442	1354
246	443	1350
247	443	1346
248	444	1341
249	445	1337
250	446	1333
251	448	1330
252	450	1328
253	451	1324
254	452	1320
255	453	1316
256	454	1312
257	455	1308
258	456	1304
259	457	1300
260	457	1296
261	458	1292
262	459	1288
263	461	1285
264	462	1282
265	463	1278
266	464	1274
267	465	1270
268	466	1266
269	467	1263
270	468	1259
271	469	1255
272	470	1251
273	471	1248
274	472	1244
275	473	1241
276	474	1237
277	475	1234
278	476	1231
279	477	1227
280	478	1224
281	479	1220
282	480	1217
283	481	1213
284	482	1210
285	483	1207
286	484	1203
287	485	1200
288	486	1196
289	487	1193
290	488	1190
291	489	1187
292	490	1184
293	491	1180
294	492	1177
295	493	1174
296	494	1171
297	495	1167
298	496	1164
299	497	1161
300	498	1157
301	499	1154
302	500	1151
303	501	1148
304	502	1146
305	503	1142
306	504	1139
307	505	1136
308	506	1133
309	507	1130
310	508	1127
311	509	1124
312	510	1121
313	511	1118
314	512	1115
315	513	1112
316	514	1109
317	516	1106
318	517	1103
319	518	1100
320	518	1097
321	520	1094
322	520	1091
323	521	1088
324	522	1086
325	523	1083
326	524	1080
327	526	1077
328	527	1075
329	528	1072
330	529	1069
331	530	1066
332	531	1064
333	532	1061
334	533	1058
335	534	1055
336	535	1053
337	536	1050
338	537	1047
339	538	1044
340	539	1042
341	540	1039
342	541	1036
343	542	1034
344	543	1031
345	544	1029
346	545	1026
347	546	1023
348	547	1021
349	548	1018
350	549	1015
351	550	1013
352	551	1010
353	552	1008
354	553	1005
355	554	1002
356	555	1000
357	556	997
358	557	995
359	558	993
360	559	990
361	560	988
362	561	985
363	562	982
364	563	980
365	564	977
366	565	975
367	566	973
368	567	970
369	568	968
370	569	965
371	570	963
372	572	961
373	573	960
374	575	958
375	576	956
376	577	953
377	578	951
378	579	949
379	580	947
380	581	945
381	582	942
382	583	940
383	585	938
384	586	936
385	587	934
386	588	932
387	589	930
388	590	927
389	591	925
390	593	923
391	594	921
392	595	919
393	596	917
394	597	915
395	598	913
396	599	910
397	600	908
398	601	906
399	602	904
400	603	901
401	604	899
402	605	897
403	606	895
404	607	892
405	608	890
406	609	888
407	610	886
408	611	883
409	612	881
410	613	879
411	614	877
412	616	875
413	617	873
414	618	871
415	619	869
416	620	867
417	621	864
418	622	862
419	623	860
420	624	858
421	625	856
422	626	854
423	627	852
424	628	850
425	629	848
426	630	846
427	631	843
428	632	841
429	633	839
430	634	837
431	635	835
432	636	833
433	637	831
434	638	829
435	639	827
436	640	825
437	641	823
438	642	821
439	643	819
440	644	817
441	645	815
442	646	813
443	647	811
444	648	809
445	649	807
446	650	805
447	651	803
448	652	801
449	654	799
450	655	797
451	656	795
452	657	793
453	658	791
454	659	789
455	660	787
456	661	785
457	662	783
458	663	781
459	664	779
460	665	777
461	666	775
462	667	773
463	668	772
464	669	770
465	670	768
466	671	766
467	672	764
468	673	762
469	674	760
470	675	758
471	676	756
472	677	754
473	678	752
474	679	750
475	680	748
476	681	747
477	682	745
478	683	743
479	684	741
480	685	739
481	686	738
482	687	736
483	688	734
484	689	732
485	690	730
486	691	728
487	692	726
488	693	725
489	695	723
490	696	722
491	698	720
492	699	718
493	700	717
494	701	715
495	702	713
496	703	711
497	704	709
498	705	707
499	706	706
500	707	704
501	707	702
502	709	700
503	710	699
504	711	697
505	712	695
506	713	693
507	714	691
508	715	690
509	716	688
510	717	686
511	718	684
512	719	683
513	720	681
514	721	679
515	722	678
516	724	676
517	724	674
518	725	672
519	727	671
520	728	669
521	729	667
522	730	665
523	730	664
524	732	662
525	732	660
526	734	658
527	734	657
528	736	655
529	737	654
530	738	652
531	739	650
532	740	648
533	741	647
534	742	645
535	743	643
536	744	642
537	745	640
538	746	638
539	747	636
540	748	635
541	749	633
542	751	632
543	752	630
544	753	628
545	754	627
546	755	625
547	756	623
548	757	621
549	758	620
550	758	618
551	759	616
552	760	615
553	761	613
554	762	611
555	763	610
556	765	608
557	766	606
558	767	605
559	768	603
560	769	601
561	770	600
562	771	598
563	772	596
564	773	595
565	774	593
566	775	591
567	776	590
568	777	588
569	778	587
570	779	585
571	780	583
572	781	582
573	782	580
574	783	578
575	784	577
576	785	575
577	786	574
578	787	572
579	788	570
580	789	569
581	790	567
582	791	565
583	792	564
584	793	563
585	794	561
586	795	559
587	796	558
588	797	556
589	798	555
590	800	553
591	801	552
592	802	550
593	803	548
594	804	547
595	805	545
596	806	544
597	807	542
598	808	541
599	809	539
600	810	537
601	811	536
602	812	534
603	813	533
604	814	531
605	815	530
606	816	528
607	817	526
608	818	525
609	819	523
610	821	522
611	823	521
612	824	520
613	825	518
614	826	517
615	827	515
616	828	514
617	829	512
618	830	511
619	831	509
620	832	507
621	833	506
622	834	504
623	835	503
624	836	501
625	837	500
626	838	498
627	839	497
628	840	495
629	841	494
630	842	492
631	843	490
632	844	489
633	845	487
634	846	486
635	847	484
636	848	483
637	849	482
638	850	480
639	851	478
640	852	477
641	853	475
642	854	474
643	855	472
644	856	471
645	857	469
646	858	468
647	859	466
648	860	465
649	861	463
650	862	462
651	863	460
652	864	459
653	865	457
654	866	456
655	867	454
656	868	453
657	869	451
658	870	450
659	871	448
660	872	447
661	873	445
662	874	444
663	875	443
664	876	441
665	877	440
666	878	438
667	879	437
668	880	435
669	881	434
670	882	432
671	883	431
672	884	429
673	885	428
674	886	426
675	887	425
676	889	424
677	890	422
678	891	421
679	892	419
680	893	418
681	894	416
682	894	415
683	896	413
684	896	412
685	898	411
686	898	409
687	900	408
688	901	406
689	902	405
690	903	403
691	904	402
692	905	401
693	906	399
694	907	398
695	908	396
696	909	395
697	910	393
698	911	392
699	912	391
700	913	389
701	914	388
702	915	386
703	916	385
704	917	383
705	918	382
706	919	380
707	920	379
708	921	378
709	922	376
710	923	375
711	924	373
712	925	372
713	925	370
714	927	369
715	928	368
716	929	366
717	930	365
718	931	364
719	932	362
720	933	361
721	934	359
722	935	358
723	936	357
724	937	355
725	938	354
726	939	352
727	940	351
728	941	350
729	942	348
730	944	347
731	945	346
732	946	344
733	947	343
734	948	342
735	949	340
736	950	339
737	951	337
738	952	336
739	953	335
740	954	333
741	955	332
742	956	330
743	958	329
744	959	328
745	960	326
746	961	325
747	962	324
748	963	322
749	964	321
750	965	319
751	966	318
752	967	317
753	968	315
754	969	314
755	970	313
756	971	311
757	972	310
758	973	309
759	974	307
760	975	306
761	976	304
762	977	303
763	978	302
764	979	300
765	980	299
766	981	298
767	982	296
768	983	295
769	984	294
770	985	292
771	986	291
772	987	289
773	988	288
774	989	287
775	990	285
776	991	284
777	992	283
778	993	281
779	994	280
780	995	279
781	996	277
782	997	276
783	998	275
784	999	273
785	1000	272
786	1001	271
787	1002	269
788	1003	268
789	1004	267
790	1005	265
791	1006	264
792	1007	263
793	1008	261
794	1009	260
795	1010	258
796	1011	257
797	1012	256
798	1013	254
799	1014	253
800	1015	252
801	1016	250
802	1017	249
803	1018	248
804	1019	246
805	1020	245
806	1021	244
807	1022	242
808	1023	241
809	1024	240
810	1025	238
811	1026	237
812	1027	236
813	1028	235
814	1029	233
815	1030	232
816	1031	231
817	1032	229
818	1033	228
819	1034	227
820	1035	225
821	1036	224
822	1038	223
823	1039	221
824	1040	220
825	1041	219
826	1042	218
827	1043	216
828	1044	215
829	1045	214
830	1046	212
831	1047	211
832	1048	210
833	1049	208
834	1050	207
835	1051	206
836	1052	205
837	1054	203
838	1055	202
839	1056	201
840	1057	199
841	1058	198
842	1059	197
843	1060	196
844	1061	194
845	1062	193
846	1063	192
847	1064	190
848	1065	189
849	1067	188
850	1068	187
851	1070	185
852	1071	184
853	1072	183
854	1073	182
855	1074	180
856	1075	179
857	1076	178
858	1077	176
859	1078	175
860	1079	174
861	1080	173
862	1081	171
863	1083	170
864	1084	169
865	1085	167
866	1086	166
867	1087	165
868	1088	164
869	1089	162
870	1090	161
871	1091	160
872	1092	158
873	1093	157
874	1094	156
875	1095	155
876	1096	153
877	1098	152
878	1099	151
879	1099	149
880	1101	148
881	1101	147
882	1103	146
883	1104	144
884	1105	143
885	1106	142
886	1107	141
887	1108	139
888	1109	138
889	1110	137
890	1111	135
891	1112	134
892	1113	133
893	1114	132
894	1115	130
895	1117	129
896	1118	128
897	1119	127
898	1120	125
899	1121	124
900	1122	123
901	1123	122
902	1124	120
903	1125	119
904	1126	118
905	1127	117
906	1128	115
907	1129	114
908	1130	113
909	1131	111
910	1132	110
911	1133	109
912	1134	108
913	1135	106
914	1137	105
915	1138	104
916	1139	103
917	1140	101
918	1141	100
919	1142	99
920	1143	98
921	1144	96
922	1145	95
923	1146	94
924	1147	93
925	1148	91
926	1149	90
927	1150	89
928	1151	88
929	1153	86
930	1154	85
931	1155	84
932	1156	83
933	1157	81
934	1158	80
935	1158	79
936	1159	77
937	1160	76
938	1161	75
939	1162	74
940	1163	72
941	1164	71
942	1165	70
943	1166	69
944	1167	67
945	1169	66
946	1170	65
947	1171	64
948	1172	62
949	1173	61
950	1173	60
951	1174	59
952	1175	57
953	1176	56
954	1178	55
955	1179	54
956	1180	53
957	1181	51
958	1182	50
959	1183	49
960	1184	48
961	1185	46
962	1186	45
963	1187	44
964	1188	43
965	1189	41
966	1190	40
967	1190	39
968	1192	38
969	1194	36
970	1195	35
971	1196	34
972	1197	33
973	1198	31
974	1199	30
975	1200	29
976	1201	28
977	1202	27
978	1203	25
979	1204	24
980	1205	23
981	1206	22
982	1207	20
983	1208	19
984	1209	18
985	1210	17
986	1211	15
987	1212	14
988	1213	13
989	1214	12
990	1215	11
991	1216	9
992	1217	8
993	1218	7
994	1220	6
995	1221	4
996	1222	3
997	1223	2
998	1224	1
999	1225	0
